,Date,Value,Ticker
152,2010-09-30,4.46,PPBI
153,2010-06-30,5.27,PPBI
154,2010-03-31,2.16,PPBI
155,2009-12-31,5.56,PPBI
156,2009-09-30,6.73,PPBI
157,2009-06-30,4.33,PPBI
158,2009-03-31,1.33,PPBI
159,,,AEL
160,2021-12-31,"4,215.06",AEL
161,2021-09-30,622.23,AEL
162,2021-06-30,614.46,AEL
163,2021-03-31,468.16,AEL
164,2020-12-31,"1,291.75",AEL
165,2020-09-30,342.79,AEL
166,2020-06-30,-339.52,AEL
167,2020-03-31,"-1,174.81",AEL
168,2019-12-31,"3,347.38",AEL
169,2019-09-30,"2,285.13",AEL
170,2019-06-30,"1,869.83",AEL
171,2019-03-31,"1,111.27",AEL
172,2018-12-31,38.90,AEL
173,2018-09-30,582.73,AEL
174,2018-06-30,-146.36,AEL
175,2018-03-31,-444.28,AEL
176,2017-12-31,"1,919.04",AEL
177,2017-09-30,"1,262.09",AEL
178,2017-06-30,828.91,AEL
179,2017-03-31,496.65,AEL
180,2016-12-31,"1,415.19",AEL
181,2016-09-30,943.63,AEL
182,2016-06-30,421.87,AEL
183,2016-03-31,141.37,AEL
184,2015-12-31,503.49,AEL
185,2015-09-30,70.18,AEL
186,2015-06-30,264.91,AEL
187,2015-03-31,-140.51,AEL
188,2014-12-31,706.43,AEL
189,2014-09-30,486.58,AEL
190,2014-06-30,394.76,AEL
191,2014-03-31,47.96,AEL
192,2013-12-31,861.72,AEL
193,2013-09-30,603.80,AEL
194,2013-06-30,490.98,AEL
195,2013-03-31,369.54,AEL
196,2012-12-31,783.58,AEL
197,2012-09-30,829.27,AEL
198,2012-06-30,500.15,AEL
199,2012-03-31,457.53,AEL
200,2011-12-31,272.53,AEL
201,2011-09-30,95.40,AEL
202,2011-06-30,181.99,AEL
203,2011-03-31,237.05,AEL
204,2010-12-31,415.16,AEL
205,2010-09-30,130.37,AEL
206,2010-06-30,9.29,AEL
207,2010-03-31,178.69,AEL
208,2009-12-31,513.58,AEL
209,2009-09-30,258.16,AEL
210,2009-06-30,95.27,AEL
211,2009-03-31,59.33,AEL
212,,,RHP
213,2021-12-31,11.83,RHP
214,2021-09-30,-65.49,RHP
215,2021-06-30,-103.39,RHP
216,2021-03-31,-68.72,RHP
217,2020-12-31,-326.99,RHP
218,2020-09-30,-236.91,RHP
219,2020-06-30,-193.94,RHP
220,2020-03-31,-38.50,RHP
221,2019-12-31,202.15,RHP
222,2019-09-30,121.54,RHP
223,2019-06-30,69.55,RHP
224,2019-03-31,5.69,RHP
225,2018-12-31,133.70,RHP
226,2018-09-30,92.47,RHP
227,2018-06-30,36.36,RHP
228,2018-03-31,-3.66,RHP
229,2017-12-31,113.27,RHP
230,2017-09-30,88.62,RHP
231,2017-06-30,34.44,RHP
232,2017-03-31,0.61,RHP
233,2016-12-31,175.62,RHP
234,2016-09-30,114.56,RHP
235,2016-06-30,71.02,RHP
236,2016-03-31,40.03,RHP
237,2015-12-31,158.25,RHP
238,2015-09-30,91.26,RHP
239,2015-06-30,40.44,RHP
240,2015-03-31,-11.17,RHP
241,2014-12-31,193.85,RHP
242,2014-09-30,106.49,RHP
243,2014-06-30,55.94,RHP
244,2014-03-31,12.35,RHP
245,2013-12-31,100.74,RHP
246,2013-09-30,40.72,RHP
247,2013-06-30,-24.09,RHP
248,2013-03-31,-57.00,RHP
249,2012-12-31,81.24,RHP
250,2012-09-30,51.12,RHP
251,2012-06-30,20.36,RHP
252,2012-03-31,-15.82,RHP
253,2011-12-31,21.33,RHP
254,2011-09-30,-10.92,RHP
255,2011-06-30,-21.79,RHP
256,2011-03-31,-45.48,RHP
257,2010-12-31,-55.16,RHP
258,2010-09-30,-21.23,RHP
259,2010-06-30,27.11,RHP
260,2010-03-31,19.94,RHP
261,2009-12-31,69.99,RHP
262,2009-09-30,32.29,RHP
263,2009-06-30,10.93,RHP
264,2009-03-31,-26.50,RHP
265,,,LXFR
266,2021-12-31,17.00,LXFR
267,2021-09-30,52.20,LXFR
268,2021-06-30,20.80,LXFR
269,2021-03-31,13.80,LXFR
270,2020-12-31,41.60,LXFR
271,2020-09-30,32.00,LXFR
272,2020-06-30,5.10,LXFR
273,2020-03-31,-7.00,LXFR
274,2019-12-31,-6.10,LXFR
275,2019-09-30,-22.70,LXFR
276,2019-06-30,-21.50,LXFR
277,2019-03-31,-11.00,LXFR
278,2018-12-31,49.40,LXFR
279,2018-09-30,31.70,LXFR
280,2018-06-30,17.50,LXFR
281,2018-03-31,7.00,LXFR
282,2017-12-31,28.40,LXFR
283,2017-09-30,22.20,LXFR
284,2017-06-30,14.70,LXFR
285,2017-03-31,7.30,LXFR
286,2016-12-31,13.10,LXFR
287,2016-09-30,7.90,LXFR
288,2016-06-30,5.70,LXFR
289,2016-03-31,-0.20,LXFR
290,2015-12-31,37.50,LXFR
291,2015-09-30,28.90,LXFR
292,2015-06-30,19.20,LXFR
293,2015-03-31,5.40,LXFR
294,2014-12-31,2.60,LXFR
295,2014-09-30,-7.10,LXFR
296,2014-06-30,-11.30,LXFR
297,2014-03-31,-1.80,LXFR
298,2013-12-31,13.00,LXFR
299,2013-09-30,15.70,LXFR
300,2013-06-30,8.60,LXFR
301,2013-03-31,5.70,LXFR
302,2012-12-31,49.70,LXFR
303,2012-09-30,41.70,LXFR
304,2012-06-30,,LXFR
305,2012-03-31,,LXFR
306,2011-12-31,,LXFR
307,,,MELI
308,2021-12-31,392.11,MELI
309,2021-09-30,-160.30,MELI
310,2021-06-30,-263.74,MELI
311,2021-03-31,-375.67,MELI
312,2020-12-31,935.78,MELI
313,2020-09-30,766.47,MELI
314,2020-06-30,469.85,MELI
315,2020-03-31,-130.83,MELI
316,2019-12-31,314.29,MELI
317,2019-09-30,272.09,MELI
318,2019-06-30,94.56,MELI
319,2019-03-31,105.44,MELI
320,2018-12-31,133.35,MELI
321,2018-09-30,126.54,MELI
322,2018-06-30,60.64,MELI
323,2018-03-31,-59.94,MELI
324,2017-12-31,194.16,MELI
325,2017-09-30,190.33,MELI
326,2017-06-30,191.82,MELI
327,2017-03-31,91.98,MELI
328,2016-12-31,113.32,MELI
329,2016-09-30,86.04,MELI
330,2016-06-30,7.30,MELI
331,2016-03-31,-27.23,MELI
332,2015-12-31,158.84,MELI
333,2015-09-30,74.44,MELI
334,2015-06-30,73.05,MELI
335,2015-03-31,30.86,MELI
336,2014-12-31,162.37,MELI
337,2014-09-30,113.99,MELI
338,2014-06-30,73.27,MELI
339,2014-03-31,20.66,MELI
340,2013-12-31,28.76,MELI
341,2013-09-30,46.75,MELI
342,2013-06-30,21.07,MELI
343,2013-03-31,27.23,MELI
344,2012-12-31,123.14,MELI
345,2012-09-30,72.03,MELI
346,2012-06-30,50.17,MELI
347,2012-03-31,15.29,MELI
348,2011-12-31,70.50,MELI
349,2011-09-30,45.21,MELI
350,2011-06-30,20.49,MELI
351,2011-03-31,12.28,MELI
352,2010-12-31,54.68,MELI
353,2010-09-30,31.44,MELI
354,2010-06-30,22.19,MELI
355,2010-03-31,10.06,MELI
356,2009-12-31,45.90,MELI
357,2009-09-30,24.01,MELI
358,2009-06-30,10.84,MELI
359,2009-03-31,3.13,MELI
360,,,EQIX
361,2021-12-31,-197.56,EQIX
362,2021-09-30,-299.36,EQIX
363,2021-06-30,-353.11,EQIX
364,2021-03-31,-226.18,EQIX
365,2020-12-31,161.54,EQIX
366,2020-09-30,51.04,EQIX
367,2020-06-30,126.06,EQIX
368,2020-03-31,79.52,EQIX
369,2019-12-31,102.83,EQIX
370,2019-09-30,33.93,EQIX
371,2019-06-30,108.49,EQIX
372,2019-03-31,51.45,EQIX
373,2018-12-31,-451.01,EQIX
374,2018-09-30,-283.17,EQIX
375,2018-06-30,-72.12,EQIX
376,2018-03-31,-63.52,EQIX
377,2017-12-31,13.19,EQIX
378,2017-09-30,-18.89,EQIX
379,2017-06-30,-72.78,EQIX
380,2017-03-31,-23.84,EQIX
381,2016-12-31,729.45,EQIX
382,2016-09-30,791.77,EQIX
383,2016-06-30,-69.76,EQIX
384,2016-03-31,-86.45,EQIX
385,2015-12-31,-11.58,EQIX
386,2015-09-30,33.89,EQIX
387,2015-06-30,35.53,EQIX
388,2015-03-31,44.41,EQIX
389,2014-12-31,12.43,EQIX
390,2014-09-30,48.61,EQIX
391,2014-06-30,-11.83,EQIX
392,2014-03-31,49.02,EQIX
393,2013-12-31,-42.13,EQIX
394,2013-09-30,-7.35,EQIX
395,2013-06-30,29.85,EQIX
396,2013-03-31,8.51,EQIX
397,2012-12-31,-157.13,EQIX
398,2012-09-30,-125.76,EQIX
399,2012-06-30,-21.20,EQIX
400,2012-03-31,-19.50,EQIX
401,2011-12-31,-126.13,EQIX
402,2011-09-30,-119.52,EQIX
403,2011-06-30,-129.87,EQIX
404,2011-03-31,-72.30,EQIX
405,2010-12-31,-201.39,EQIX
406,2010-09-30,-166.07,EQIX
407,2010-06-30,-135.39,EQIX
408,2010-03-31,-43.59,EQIX
409,2009-12-31,-14.05,EQIX
410,2009-09-30,5.18,EQIX
411,2009-06-30,-14.16,EQIX
412,2009-03-31,-22.14,EQIX
413,,,CCOI
414,2021-12-31,100.34,CCOI
415,2021-09-30,79.65,CCOI
416,2021-06-30,54.19,CCOI
417,2021-03-31,31.66,CCOI
418,2020-12-31,84.37,CCOI
419,2020-09-30,62.66,CCOI
420,2020-06-30,42.97,CCOI
421,2020-03-31,15.59,CCOI
422,2019-12-31,101.85,CCOI
423,2019-09-30,65.65,CCOI
424,2019-06-30,44.26,CCOI
425,2019-03-31,15.35,CCOI
426,2018-12-31,83.98,CCOI
427,2018-09-30,54.20,CCOI
428,2018-06-30,34.56,CCOI
429,2018-03-31,15.27,CCOI
430,2017-12-31,65.90,CCOI
431,2017-09-30,45.16,CCOI
432,2017-06-30,27.30,CCOI
433,2017-03-31,11.27,CCOI
434,2016-12-31,62.73,CCOI
435,2016-09-30,36.05,CCOI
436,2016-06-30,21.96,CCOI
437,2016-03-31,12.52,CCOI
438,2015-12-31,48.23,CCOI
439,2015-09-30,31.19,CCOI
440,2015-06-30,14.63,CCOI
441,2015-03-31,5.46,CCOI
442,2014-12-31,13.01,CCOI
443,2014-09-30,8.10,CCOI
444,2014-06-30,7.42,CCOI
445,2014-03-31,-4.99,CCOI
446,2013-12-31,32.82,CCOI
447,2013-09-30,13.63,CCOI
448,2013-06-30,8.89,CCOI
449,2013-03-31,-1.35,CCOI
450,2012-12-31,35.61,CCOI
451,2012-09-30,13.60,CCOI
452,2012-06-30,9.29,CCOI
453,2012-03-31,0.40,CCOI
454,2011-12-31,29.96,CCOI
455,2011-09-30,13.09,CCOI
456,2011-06-30,6.63,CCOI
457,2011-03-31,0.63,CCOI
458,2010-12-31,18.72,CCOI
459,2010-09-30,8.47,CCOI
460,2010-06-30,5.99,CCOI
461,2010-03-31,3.98,CCOI
462,2009-12-31,7.44,CCOI
463,2009-09-30,-1.20,CCOI
464,2009-06-30,0.72,CCOI
465,2009-03-31,1.07,CCOI
466,,,DLR
467,2021-12-31,"3,393.30",DLR
468,2021-09-30,"1,970.05",DLR
469,2021-06-30,"1,553.86",DLR
470,2021-03-31,"1,013.36",DLR
471,2020-12-31,"2,271.16",DLR
472,2020-09-30,"1,728.65",DLR
473,2020-06-30,"1,238.73",DLR
474,2020-03-31,753.02,DLR
475,2019-12-31,"1,513.82",DLR
476,2019-09-30,"1,036.97",DLR
477,2019-06-30,767.92,DLR
478,2019-03-31,341.62,DLR
479,2018-12-31,"1,671.53",DLR
480,2018-09-30,"1,203.06",DLR
481,2018-06-30,792.19,DLR
482,2018-03-31,374.17,DLR
483,2017-12-31,696.87,DLR
484,2017-09-30,657.40,DLR
485,2017-06-30,484.48,DLR
486,2017-03-31,205.48,DLR
487,2016-12-31,397.28,DLR
488,2016-09-30,113.09,DLR
489,2016-06-30,430.73,DLR
490,2016-03-31,215.05,DLR
491,2015-12-31,883.16,DLR
492,2015-09-30,676.35,DLR
493,2015-06-30,492.29,DLR
494,2015-03-31,182.20,DLR
495,2014-12-31,669.53,DLR
496,2014-09-30,486.21,DLR
497,2014-06-30,353.21,DLR
498,2014-03-31,116.41,DLR
499,2013-12-31,497.08,DLR
500,2013-09-30,297.03,DLR
501,2013-06-30,155.97,DLR
502,2013-03-31,10.86,DLR
503,2012-12-31,"-1,018.24",DLR
504,2012-09-30,"-1,095.56",DLR
505,2012-06-30,8.60,DLR
506,2012-03-31,-55.66,DLR
507,2011-12-31,204.35,DLR
508,2011-09-30,183.47,DLR
509,2011-06-30,169.98,DLR
510,2011-03-31,63.20,DLR
511,2010-12-31,-959.97,DLR
512,2010-09-30,-941.57,DLR
513,2010-06-30,-287.91,DLR
514,2010-03-31,-317.80,DLR
515,2009-12-31,145.81,DLR
516,2009-09-30,179.45,DLR
517,2009-06-30,124.38,DLR
518,2009-03-31,41.38,DLR
519,,,SOHO
520,2021-12-31,-0.65,SOHO
521,2021-09-30,1.92,SOHO
522,2021-06-30,0.11,SOHO
523,2021-03-31,-1.76,SOHO
524,2020-12-31,-15.22,SOHO
525,2020-09-30,-9.33,SOHO
526,2020-06-30,-7.90,SOHO
527,2020-03-31,-0.28,SOHO
528,2019-12-31,3.46,SOHO
529,2019-09-30,4.70,SOHO
530,2019-06-30,5.59,SOHO
531,2019-03-31,0.10,SOHO
532,2018-12-31,-75.65,SOHO
533,2018-09-30,-76.26,SOHO
534,2018-06-30,-74.07,SOHO
535,2018-03-31,-79.02,SOHO
536,2017-12-31,-5.76,SOHO
537,2017-09-30,-0.62,SOHO
538,2017-06-30,1.10,SOHO
539,2017-03-31,1.17,SOHO
540,2016-12-31,3.28,SOHO
541,2016-09-30,4.30,SOHO
542,2016-06-30,4.67,SOHO
543,2016-03-31,1.67,SOHO
544,2015-12-31,-31.88,SOHO
545,2015-09-30,-29.86,SOHO
546,2015-06-30,-1.34,SOHO
547,2015-03-31,-1.15,SOHO
548,2014-12-31,-56.06,SOHO
549,2014-09-30,-49.58,SOHO
550,2014-06-30,-51.30,SOHO
551,2014-03-31,-58.82,SOHO
552,2013-12-31,-26.04,SOHO
553,2013-09-30,3.74,SOHO
554,2013-06-30,3.80,SOHO
555,2013-03-31,0.98,SOHO
556,2012-12-31,6.12,SOHO
557,2012-09-30,5.77,SOHO
558,2012-06-30,2.83,SOHO
559,2012-03-31,1.43,SOHO
560,2011-12-31,1.60,SOHO
561,2011-09-30,3.26,SOHO
562,2011-06-30,1.69,SOHO
563,2011-03-31,2.69,SOHO
564,2010-12-31,1.84,SOHO
565,2010-09-30,2.13,SOHO
566,2010-06-30,2.99,SOHO
567,2010-03-31,-0.52,SOHO
568,2009-12-31,-9.61,SOHO
569,2009-09-30,-8.85,SOHO
570,2009-06-30,-7.47,SOHO
571,2009-03-31,-8.12,SOHO
572,,,VYNT
573,2021-12-31,-17.53,VYNT
574,2021-09-30,-14.51,VYNT
575,2021-06-30,-11.19,VYNT
576,2021-03-31,-4.61,VYNT
577,2020-12-31,-5.87,VYNT
578,2020-09-30,-4.35,VYNT
579,2020-06-30,-2.02,VYNT
580,2020-03-31,-1.54,VYNT
581,2019-12-31,-8.69,VYNT
582,2019-09-30,-6.16,VYNT
583,2019-06-30,-4.88,VYNT
584,2019-03-31,-4.48,VYNT
585,2018-12-31,-12.57,VYNT
586,2018-09-30,-11.46,VYNT
587,2018-06-30,-8.11,VYNT
588,2018-03-31,-4.69,VYNT
589,2017-12-31,-14.85,VYNT
590,2017-09-30,-11.44,VYNT
591,2017-06-30,-7.79,VYNT
592,2017-03-31,-2.57,VYNT
593,2016-12-31,-18.34,VYNT
594,2016-09-30,-17.64,VYNT
595,2016-06-30,-12.92,VYNT
596,2016-03-31,-6.11,VYNT
597,2015-12-31,-14.61,VYNT
598,2015-09-30,-10.39,VYNT
599,2015-06-30,-7.62,VYNT
600,2015-03-31,-3.19,VYNT
601,2014-12-31,-13.71,VYNT
602,2014-09-30,-8.85,VYNT
603,2014-06-30,-6.20,VYNT
604,2014-03-31,-2.08,VYNT
605,2013-12-31,-8.33,VYNT
606,2013-09-30,-6.67,VYNT
607,2013-06-30,-3.81,VYNT
608,2013-03-31,-0.57,VYNT
609,2012-12-31,-7.73,VYNT
610,2012-09-30,-5.80,VYNT
611,2012-06-30,-4.13,VYNT
612,2012-03-31,-3.21,VYNT
613,2011-12-31,,VYNT
614,2010-12-31,,VYNT
615,,,DTIL
616,2021-12-31,-15.91,DTIL
617,2021-09-30,9.28,DTIL
618,2021-06-30,33.92,DTIL
619,2021-03-31,66.95,DTIL
620,2020-12-31,-92.42,DTIL
621,2020-09-30,-77.87,DTIL
622,2020-06-30,-54.60,DTIL
623,2020-03-31,-27.01,DTIL
624,2019-12-31,-95.68,DTIL
625,2019-09-30,-69.60,DTIL
626,2019-06-30,-49.70,DTIL
627,2019-03-31,-24.99,DTIL
628,2018-12-31,-65.99,DTIL
629,2018-09-30,-43.20,DTIL
630,2018-06-30,-25.51,DTIL
631,2018-03-31,-15.07,DTIL
632,2017-12-31,,DTIL
633,,,WLDN
634,2021-12-31,1.35,WLDN
635,2021-09-30,-6.56,WLDN
636,2021-06-30,-3.77,WLDN
637,2021-03-31,4.33,WLDN
638,2020-12-31,41.97,WLDN
639,2020-09-30,22.92,WLDN
640,2020-06-30,26.30,WLDN
641,2020-03-31,14.32,WLDN
642,2019-12-31,5.03,WLDN
643,2019-09-30,2.70,WLDN
644,2019-06-30,8.92,WLDN
645,2019-03-31,8.59,WLDN
646,2018-12-31,5.52,WLDN
647,2018-09-30,10.89,WLDN
648,2018-06-30,3.57,WLDN
649,2018-03-31,-6.87,WLDN
650,2017-12-31,8.89,WLDN
651,2017-09-30,0.21,WLDN
652,2017-06-30,5.67,WLDN
653,2017-03-31,-1.97,WLDN
654,2016-12-31,19.95,WLDN
655,2016-09-30,15.36,WLDN
656,2016-06-30,6.25,WLDN
657,2016-03-31,-1.88,WLDN
658,2015-12-31,5.63,WLDN
659,2015-09-30,4.05,WLDN
660,2015-06-30,1.50,WLDN
661,2015-03-31,-2.52,WLDN
662,2014-12-31,11.41,WLDN
663,2014-09-30,5.61,WLDN
664,2014-06-30,4.08,WLDN
665,2014-03-31,4.69,WLDN
666,2013-12-31,0.93,WLDN
667,2013-09-30,3.91,WLDN
668,2013-06-30,1.96,WLDN
669,2013-03-31,0.65,WLDN
670,2012-12-31,4.34,WLDN
671,2012-09-30,4.34,WLDN
672,2012-06-30,0.71,WLDN
673,2012-03-31,-0.90,WLDN
674,2011-12-31,-1.06,WLDN
675,2011-09-30,2.76,WLDN
676,2011-06-30,1.32,WLDN
677,2011-03-31,0.47,WLDN
678,2010-12-31,-0.55,WLDN
679,2010-09-30,0.96,WLDN
680,2010-06-30,-1.94,WLDN
681,2010-03-31,-1.47,WLDN
682,2009-12-31,1.77,WLDN
683,2009-09-30,1.59,WLDN
684,2009-06-30,1.22,WLDN
685,2009-03-31,1.57,WLDN
686,,,AQST
687,2021-12-31,-33.89,AQST
688,2021-09-30,-25.30,AQST
689,2021-06-30,-16.15,AQST
690,2021-03-31,-14.20,AQST
691,2020-12-31,-45.98,AQST
692,2020-09-30,-32.23,AQST
693,2020-06-30,-23.88,AQST
694,2020-03-31,-13.77,AQST
695,2019-12-31,-60.87,AQST
696,2019-09-30,-50.21,AQST
697,2019-06-30,-35.33,AQST
698,2019-03-31,-18.06,AQST
699,2018-12-31,-14.82,AQST
700,2018-09-30,-11.51,AQST
701,2018-06-30,0.41,AQST
702,2018-03-31,0.53,AQST
703,2017-12-31,,AQST
704,2017-09-30,11.25,AQST
705,2017-06-30,-3.94,AQST
706,,,EFC
707,2021-12-31,64.70,EFC
708,2021-09-30,57.96,EFC
709,2021-06-30,42.91,EFC
710,2021-03-31,9.03,EFC
711,2020-12-31,129.24,EFC
712,2020-09-30,90.13,EFC
713,2020-06-30,74.08,EFC
714,2020-03-31,35.81,EFC
715,2019-12-31,103.07,EFC
716,2019-09-30,61.46,EFC
717,2019-06-30,43.73,EFC
718,2019-03-31,20.76,EFC
719,2018-12-31,-494.18,EFC
720,2018-09-30,-421.05,EFC
721,2018-06-30,-223.69,EFC
722,2018-03-31,-124.69,EFC
723,2017-12-31,-462.93,EFC
724,2017-09-30,-124.17,EFC
725,2017-06-30,-115.28,EFC
726,2017-03-31,-107.60,EFC
727,2016-12-31,69.69,EFC
728,2016-09-30,163.65,EFC
729,2016-06-30,89.28,EFC
730,2016-03-31,-19.00,EFC
731,2015-12-31,654.25,EFC
732,2015-09-30,389.27,EFC
733,2015-06-30,363.17,EFC
734,2015-03-31,338.15,EFC
735,2014-12-31,-604.16,EFC
736,2014-09-30,-341.65,EFC
737,2014-06-30,48.42,EFC
738,2014-03-31,66.34,EFC
739,2013-12-31,-244.38,EFC
740,2013-09-30,-369.46,EFC
741,2013-06-30,-317.42,EFC
742,2013-03-31,-26.54,EFC
743,2012-12-31,-51.40,EFC
744,2012-09-30,185.30,EFC
745,2012-06-30,15.39,EFC
746,2012-03-31,-31.13,EFC
747,2011-12-31,-47.45,EFC
748,2011-09-30,-64.22,EFC
749,2011-06-30,14.83,EFC
750,2011-03-31,-93.83,EFC
751,2010-12-31,-347.55,EFC
752,2010-09-30,119.64,EFC
753,2010-06-30,157.42,EFC
754,2010-03-31,137.28,EFC
755,2009-12-31,,EFC
756,2009-09-30,-270.88,EFC
757,,,PMT
758,2021-09-30,"-2,695.29",PMT
759,2021-06-30,"-2,853.62",PMT
760,2021-03-31,"-1,857.14",PMT
761,2020-12-31,715.16,PMT
762,2020-09-30,688.84,PMT
763,2020-06-30,"2,634.01",PMT
764,2020-03-31,"1,721.19",PMT
765,2019-12-31,"-2,910.10",PMT
766,2019-09-30,"-2,270.14",PMT
767,2019-06-30,-883.88,PMT
768,2019-03-31,161.80,PMT
769,2018-12-31,-474.56,PMT
770,2018-09-30,-716.79,PMT
771,2018-06-30,-527.59,PMT
772,2018-03-31,154.92,PMT
773,2017-12-31,390.05,PMT
774,2017-09-30,423.94,PMT
775,2017-06-30,388.79,PMT
776,2017-03-31,458.61,PMT
777,2016-12-31,-386.86,PMT
778,2016-09-30,-611.29,PMT
779,2016-06-30,-42.79,PMT
780,2016-03-31,25.34,PMT
781,2015-12-31,-622.36,PMT
782,2015-09-30,-351.42,PMT
783,2015-06-30,"-1,532.32",PMT
784,2015-03-31,-687.15,PMT
785,2014-12-31,-179.25,PMT
786,2014-09-30,-256.29,PMT
787,2014-06-30,-486.57,PMT
